DateStock,No_,Description,Gen_Prod_Posting Group,Quantité,Cout,Site,Encours,Nom abrégé,GroupeItem,GroupeClient,Quantit
2026-03-05,ART-1073,Article Industriel 73 Electronique,ACHAT_DIR,643.95,370.33,MAGASIN CENTRAL,0,ART-73,ELECTRONIQUE,CLIENT_AERO,643.95
2026-04-15,ART-1734,Article Industriel 734 Visserie,PROD_FINI,552.81,341.1,DEPOT B,0,ART-734,VISSERIE,EXPORT_EU,552.81
2026-01-05,ART-1742,Article Industriel 742 Metallurgie,ACHAT_DIR,1172.23,415.98,ATELIER 1,0,ART-742,METALLURGIE,INTERNE,1172.23
2026-03-05,ART-1579,Article Industriel 579 Emballage,ACHAT_DIR,654.61,116.87,DEPOT A,0,ART-579,EMBALLAGE,CLIENT_AERO,654.61
2026-03-31,ART-1606,Article Industriel 606 Metallurgie,ACHAT_DIR,680.57,381.4, ATELIER 1 ,0,ART-606,METALLURGIE,INTERNE,680.57
2026-02-05,ART-1167,Article Industriel 167 Metallurgie,PROD_FINI,439.84,318.39,DEPOT B,1,ART-167,METALLURGIE,EXPORT_EU,439.84
2026-01-15,ART-1483,Article Industriel 483 Plastique,PROD_FINI,417.98,46.06,DEPOT B,0,ART-483,PLASTIQUE,CLIENT_AUTO,417.98
2026-02-28,ART-1706,Article Industriel 706 Plastique,ACHAT_DIR,999999,357.86,DEPOT A,0,ART-706,PLASTIQUE,EXPORT_EU,307.3
2026-01-31,ART-1692,Article Industriel 692 Emballage,COMPOSANT,905.93,386.31,DEPOT B,0,ART-692,EMBALLAGE,EXPORT_EU,905.93
2026-03-31,ART-1647,Article Industriel 647 Metallurgie,COMPOSANT,1477.39,479.04,DEPOT NORD,0,ART-647,  METALLURGIE  ,DIVERS_LOCAL,1477.39
2026-04-30,ART-1762,Article Industriel 762 Emballage,ACHAT_DIR,352.41,36.33,DEPOT B,0,ART-762,EMBALLAGE,EXPORT_EU,352.41
2026-04-15,ART-1151,Article Industriel 151 Plastique,ACHAT_DIR,820.62,308.79,MAGASIN CENTRAL,0,ART-151,PLASTIQUE,CLIENT_AUTO,820.62
2026-04-15,ART-1408,Article Industriel 408 Plastique,PROD_FINI,1082.0,416.26,DEPOT A,0,ART-408,PLASTIQUE,CLIENT_AERO,1082.0
2026-02-05,ART-1690,Article Industriel 690 Divers,MAT_PREM,837.3,589.97,DEPOT A,0,ART-690,DIVERS,CLIENT_AERO,837.3
2026-03-05,art-1100,Article Industriel 100 Divers,MAT_PREM,1349.33,462.57,ATELIER 1,0,ART-100,DIVERS,EXPORT_EU,1349.33
2026-02-05,ART-1654,Article Industriel 654 Metallurgie,MAT_PREM,445.49,10.98,DEPOT B,1,ART-654,METALLURGIE,INTERNE,445.49
2026-04-05,,Article Industriel 464 Electronique,EMBALLAGE,158.02,609.97,DEPOT NORD,0,ART-464,ELECTRONIQUE,CLIENT_AERO,158.02
2026-01-31,ART-1060,Article Industriel 60 Emballage,COMPOSANT,148.56,"296,79",DEPOT B,0,ART-60,EMBALLAGE,CLIENT_AUTO,148.56
2026-02-28,ART-1181,Article Industriel 181 Emballage,EMBALLAGE,579.54,541.87,DEPOT NORD,0,ART-181,EMBALLAGE,CLIENT_AUTO,579.54
2026-01-15,ART-1108,Article Industriel 108 Electronique,COMPOSANT,999999,325.37,DEPOT NORD,0,ART-108,ELECTRONIQUE,CLIENT_AERO,329.77
2026-02-05,ART-1076,Article Industriel 76 Plastique,MAT_PREM,178.14,599.85,DEPOT A,1,ART-76,PLASTIQUE,CLIENT_AERO,178.14
2026-04-05,ART-1794,Article Industriel 794 Metallurgie,EMBALLAGE,1076.68,301.78,MAGASIN CENTRAL,0,ART-794,METALLURGIE,INTERNE,1076.68
2026-01-15,ART-1654,Article Industriel 654 Metallurgie,MAT_PREM,481.61,639.91,DEPOT A,1,ART-654,METALLURGIE,DIVERS_LOCAL,481.61
2026-04-30,ART-1745,Article Industriel 745 Emballage,EMBALLAGE,747.16,287.09 TND,MAGASIN CENTRAL,0,ART-745,EMBALLAGE,INTERNE,747.16
2026-04-30,ART-1334,Article Industriel 334 Electronique,MAT_PREM,1422.5,84.64,DEPOT A,1,ART-334,ELECTRONIQUE,CLIENT_AUTO,1422.5
2026-01-31,ART-1438,Article Industriel 438 Electronique,ACHAT_DIR,544.49,571.9,DEPOT A,0,ART-438,ELECTRONIQUE,CLIENT_AUTO,544.49
31-03-2026,ART-1135,Article Industriel 135 Metallurgie,COMPOSANT,700.99,7.02,DEPOT NORD,0,ART-135,METALLURGIE,EXPORT_EU,700.99
2026-01-31,ART-1478,Article Industriel 478 Hydraulique,PROD_FINI,69.96,600.1,ATELIER 1,0,ART-478,HYDRAULIQUE,DIVERS_LOCAL,69.96
05-02-2026,ART-1428,Article Industriel 428 Hydraulique,ACHAT_DIR,557.88,475.24,DEPOT A,0,ART-428,HYDRAULIQUE,DIVERS_LOCAL,557.88
30/04/2026,ART-1434,Article Industriel 434 Visserie,EMBALLAGE,241.15,538.82,DEPOT B,0,ART-434,VISSERIE,CLIENT_AERO,241.15
2026-01-31,ART-1492,Article Industriel 492 Electronique,ACHAT_DIR,975.91,610.8,MAGASIN CENTRAL,0,ART-492,ELECTRONIQUE,CLIENT_AUTO,975.91
2026-01-05,ART-1656,Article Industriel 656 Metallurgie   ,PROD_FINI,919.17,438.56,DEPOT A,1,ART-656,METALLURGIE,CLIENT_AUTO,919.17
2026-01-31,ART-1692,Article Industriel 692 Emballage,COMPOSANT,1048.94,363.78,DEPOT NORD,0,ART-692,EMBALLAGE,INTERNE,1048.94
2026-03-15,ART-1286,Article Industriel 286 Metallurgie,ACHAT_DIR,1150.16,850000.00,DEPOT A,0,ART-286,METALLURGIE,EXPORT_EU,1150.16
2026-04-30,ART-1255,Article Industriel 255 Hydraulique,ACHAT_DIR,860.42,96.25,ATELIER 1,1,ART-255,HYDRAULIQUE,CLIENT_AUTO,860.42
2026-01-31,ART-1575,Article Industriel 575 Visserie,EMBALLAGE,1104.69,489.85,ATELIER 1,1,ART-575,VISSERIE,INTERNE,1104.69
2026-01-31,ART-1417,Article Industriel 417 Divers,MAT_PREM,222.93,104.45,ATELIER 1,0,ART-417,DIVERS,EXPORT_EU,222.93
2026-01-05,ART-1383,Article Industriel 383 Hydraulique,EMBALLAGE,1298.05,43.37,DEPOT B,1,ART-383,HYDRAULIQUE,INTERNE,1298.05
2026-04-05,ART-1800,Article Industriel 800 Divers,COMPOSANT,311.32,413.82,DEPOT NORD,0,ART-800,DIVERS,DIVERS_LOCAL,311.32
2026-04-05,ART-1788,Article Industriel 788 Electronique,ACHAT_DIR,772.54,319.46,DEPOT B,0,ART-788,ELECTRONIQUE,INTERNE,772.54
2026-03-15,ART-1199,Article Industriel 199 Divers,PROD_FINI,311.88,193.55,DEPOT NORD,0,ART-199,DIVERS,CLIENT_AERO,311.88
2026-04-05,ART-1191,Article Industriel 191 Divers,EMBALLAGE,994.23,579.0,MAGASIN CENTRAL,1,ART-191,DIVERS,CLIENT_AUTO,994.23
15-03-2026,ART-1706,Article Industriel 706 Plastique,ACHAT_DIR,991.83,334.54,DEPOT B,0,ART-706,PLASTIQUE,CLIENT_AERO,991.83
2026-03-31,ART-1157,Article Industriel 157 Hydraulique,EMBALLAGE,1267.59,460.12,ATELIER 1,0,ART-157,HYDRAULIQUE,CLIENT_AUTO,1267.59
2026-04-15,ART-1234,Article Industriel 234 Hydraulique,MAT_PREM,252.6,486.16,DEPOT A,0,ART-234,HYDRAULIQUE,INTERNE,252.6
2026-01-05,ART-1343,Article Industriel 343 Emballage,EMBALLAGE,339.1,474.18,ATELIER 1,0,ART-343,EMBALLAGE,DIVERS_LOCAL,339.1
2026-04-05,ART-1060,Article Industriel 60 Emballage,COMPOSANT,402.39,27.86,DEPOT A,0,ART-60,EMBALLAGE,CLIENT_AUTO,402.39
2026-02-15,ART-1296,Article Industriel 296 Divers,COMPOSANT,957.15,194.23,ATELIER 1,1,ART-296,DIVERS,INTERNE,957.15
2026-02-28,ART-1492,Article Industriel 492 Electronique,ACHAT_DIR,875.27,257.43,DEPOT NORD,0,ART-492,ELECTRONIQUE,EXPORT_EU,875.27
2026-02-05,ART-1219,Article Industriel 219 Hydraulique,COMPOSANT,1348.74,44.32,DEPOT B,1,ART-219,HYDRAULIQUE,CLIENT_AERO,1348.74
2026-03-15,ART-1412,Article Industriel 412 Emballage,COMPOSANT,540.15,83.54,DEPOT A,0,ART-412,EMBALLAGE,CLIENT_AUTO,540.15
2026-03-31,ART-1136,Article Industriel 136 Metallurgie,ACHAT_DIR,1261.69,605.96,MAGASIN CENTRAL,0,ART-136,METALLURGIE,INTERNE,1261.69
2026-01-15,ART-1229,Article Industriel 229 Plastique,COMPOSANT,628.9,581.8,DEPOT B,0,ART-229,PLASTIQUE,EXPORT_EU,628.9
2026-02-05,ART-1250,Article Industriel 250 Hydraulique,COMPOSANT,997.58,179.47,DEPOT B,0,ART-250,HYDRAULIQUE,INTERNE,997.58
2026-02-05,ART-1481,Article Industriel 481 Electronique,ACHAT_DIR,838.13,532.49,MAGASIN CENTRAL,1,ART-481,ELECTRONIQUE,EXPORT_EU,838.13
2026-03-05,ART-1413,Article Industriel 413 Plastique,ACHAT_DIR,935.13,467.74,MAGASIN CENTRAL,0,ART-413,plastique,CLIENT_AUTO,935.13
2026-03-05,ART-1285,ARTICLE INDUSTRIEL 285 ELECTRONIQUE,COMPOSANT,372.82,546.17,MAGASIN CENTRAL,0,ART-285,ELECTRONIQUE,EXPORT_EU,372.82
2026-02-28,ART-1796,Article Industriel 796 Hydraulique,ACHAT_DIR,399.1,444.21,DEPOT B,0,ART-796,HYDRAULIQUE,CLIENT_AERO,399.1
2026-03-05,ART-1023,Arbre de Transmission Usiné,PROD_FINI,,548.81,DEPOT NORD,0,ARBR-TRANS,METALLURGIE,EXPORT_EU,1085.33
2026-01-05,ART-1272,Article Industriel 272 Plastique,MAT_PREM,911.04,355.8,ATELIER 1,0,ART-272,PLASTIQUE,EXPORT_EU,911.04
2026-02-05,ART-1069,Article Industriel 69 Divers,PROD_FINI,1396.65,244.44,ATELIER 1,1,ART-69,DIVERS,CLIENT_AERO,1396.65
2026-04-30,ART-1661,Article Industriel 661 Hydraulique,EMBALLAGE,1056.75,22.81,DEPOT A,0,ART-661,HYDRAULIQUE,CLIENT_AERO,1056.75
2026-03-15,ART-1761,Article Industriel 761 Plastique,PROD_FINI,558.81,196.21,MAGASIN CENTRAL,0,ART-761,PLASTIQUE,DIVERS_LOCAL,558.81
2026-02-28,ART-1679,Article Industriel 679 Electronique,EMBALLAGE,1494.58,89.66,ATELIER 1,0,ART-679,ELECTRONIQUE,CLIENT_AUTO,1494.58
2026-02-15,ART-1417, Article Industriel 417 Divers,MAT_PREM,41.5,562.52,DEPOT B,0,ART-417,DIVERS,CLIENT_AUTO,41.5
2026-01-31,ART-1631,Article Industriel 631 Metallurgie,MAT_PREM,600.86,120.36,ATELIER 1,0,ART-631,METALLURGIE,CLIENT_AERO,600.86
2026-01-31,ART-1387,Article Industriel 387 Divers,MAT_PREM,1279.51,551.38,ATELIER 1,0,ART-387,DIVERS,CLIENT_AERO,1279.51
2026-04-15,ART-1744,Article Industriel 744 Metallurgie,MAT_PREM,1020.36,87.01,ATELIER 1,0,ART-744,METALLURGIE,CLIENT_AUTO,1020.36
2026-04-15,ART-1137,Article Industriel 137 Metallurgie,MAT_PREM,954.1,193.44,DEPOT A,0,ART-137,METALLURGIE,DIVERS_LOCAL,954.1
2026-01-15,ART-1134,Article Industriel 134 Electronique,COMPOSANT,410.15,422.99,MAGASIN CENTRAL,0,ART-134,ELECTRONIQUE,EXPORT_EU,410.15
2026-04-05,ART-1175,Article Industriel 175 Plastique,EMBALLAGE,388.62,241.22,DEPOT A,1,ART-175,PLASTIQUE,EXPORT_EU,388.62
2026-04-15,ART-1643,Article Industriel 643 Electronique,EMBALLAGE,365.77,386.96,DEPOT A,0,ART-643,ELECTRONIQUE,INTERNE,365.77
2026-03-15,ART-1518,Article Industriel 518 Emballage,ACHAT_DIR,189.2,10.02,DEPOT A,1,ART-518,EMBALLAGE,CLIENT_AUTO,189.2
2026-01-15,ART-1237,Article Industriel 237 Visserie,MAT_PREM,986.71,81.04,MAGASIN CENTRAL,0,ART-237,VISSERIE,DIVERS_LOCAL,986.71
2026-04-30,ART-1684,Article Industriel 684 Visserie,PROD_FINI,,389.93,DEPOT NORD,1,ART-684,VISSERIE,INTERNE,1068.26
2026-01-15,ART-1731,Article Industriel 731 Electronique,EMBALLAGE,391.68,514.12,DEPOT NORD,1,ART-731,ELECTRONIQUE,CLIENT_AUTO,391.68
2026-03-05,ART-1141,Article Industriel 141 Divers,PROD_FINI,65.98,423.3,ATELIER 1,0,ART-141,DIVERS,CLIENT_AUTO,65.98
2026-03-05,ART-1207,Article Industriel 207 Plastique,COMPOSANT,1347.13,37.35,DEPOT B,0,ART-207,PLASTIQUE,CLIENT_AERO,1347.13
2026-04-15,ART-1520,Article Industriel 520 Divers,ACHAT_DIR,582.29,282.06,DEPOT B,0,ART-520,DIVERS,CLIENT_AUTO,582.29
2026-04-15,ART-1533,Article Industriel 533 Hydraulique,COMPOSANT,876.05,386.86,ATELIER 1,0,ART-533,HYDRAULIQUE,CLIENT_AERO,876.05
2026-04-15,ART-1197,Article Industriel 197 Visserie,PROD_FINI,27.26,598.43,DEPOT B,0,ART-197,VISSERIE,INTERNE,27.26
2026-04-15,ART-1538,Article Industriel 538 Metallurgie,MAT_PREM,677.11,132.93,MAGASIN CENTRAL,0,ART-538,METALLURGIE,,677.11
2026-03-05,ART-1539,Article Industriel 539 Divers,PROD_FINI,698.62,323.17,DEPOT NORD,0,ART-539,DIVERS,CLIENT_AERO,698.62
2026-01-15,ART-1448,Article Industriel 448 Plastique,EMBALLAGE,661.42,418.35,MAGASIN CENTRAL,0,ART-448,PLASTIQUE,CLIENT_AUTO,661.42
2026-02-05,ART-1305,Article Industriel 305 Electronique,EMBALLAGE,314.52,356.52,MAGASIN CENTRAL,0,ART-305,ELECTRONIQUE,CLIENT_AUTO,314.52
2026-04-15,ART-1338,Article Industriel 338 Emballage,ACHAT_DIR,898.7,537.45,MAGASIN CENTRAL,1,ART-338,EMBALLAGE,CLIENT_AERO,898.7
2026-01-15,ART-1186,Article Industriel 186 Hydraulique,PROD_FINI,460.08,52.44,MAGASIN CENTRAL,0,ART-186,HYDRAULIQUE,DIVERS_LOCAL,460.08
2026-02-15,ART-1309,Article Industriel 309 Divers,MAT_PREM,899.39,443.03,DEPOT B,0,ART-309,DIVERS,CLIENT_AERO,899.39
2026-02-15,ART-1723,Article Industriel 723 Electronique,COMPOSANT,1300.98,172.4,ATELIER 1,99,ART-723,ELECTRONIQUE,EXPORT_EU,1300.98
2026-02-05,ART-1747,Article Industriel 747 Hydraulique,MAT_PREM,126.74,370.5,ATELIER 1,0,ART-747,HYDRAULIQUE,CLIENT_AUTO,126.74
2026-04-05,ART-1547,Article Industriel 547 Electronique,COMPOSANT,984.68,445.09,DEPOT A,1,ART-547,ELECTRONIQUE,INTERNE,984.68
,ART-1010,Axe Cylindrique Acier C45,MAT_PREM,1398.21,277.43,DEPOT B,0,AXE-C45,METALLURGIE,CLIENT_AERO,1398.21
2026-01-15,ART-1701,Article Industriel 701 Visserie,ACHAT_DIR,842.06,519.72,DEPOT NORD,0,ART-701,VISSERIE,EXPORT_EU,842.06
2026-04-05,ART-1694,Article Industriel 694 Divers,COMPOSANT,328.27,-198.68,DEPOT A,0,ART-694,DIVERS,DIVERS_LOCAL,328.27
2026-02-15,ART-1457,Article Industriel 457 Divers,COMPOSANT,1161.12,543.36,DEPOT A,1,ART-457,,CLIENT_AERO,1161.12
2026-04-15,ART-1775,Article Industriel 775 Hydraulique,PROD_FINI,1097.96,99.29,DEPOT NORD,0,ART-775,HYDRAULIQUE,CLIENT_AUTO,1097.96
2026-02-15,ART-1220,Article Industriel 220 Plastique,EMBALLAGE,1024.27,436.94,DEPOT A,1,ART-220,PLASTIQUE,CLIENT_AERO,102.43
2026-04-15,art-1519,Article Industriel 519 Metallurgie,COMPOSANT,397.1,519.05,ATELIER 1,1,ART-519,METALLURGIE,CLIENT_AUTO,397.1
2026-03-31,ART-1219,Article Industriel 219 Hydraulique,COMPOSANT,240.91,479.77,DEPOT NORD,0,ART-219,HYDRAULIQUE,DIVERS_LOCAL,240.91
2026-03-15,ART-1070,Article Industriel 70 Divers,PROD_FINI,1027.88,235.85,ATELIER 1,0,ART-70,DIVERS,EXPORT_EU,1027.88
2026-04-30,ART-1701,Article Industriel 701 Visserie   ,ACHAT_DIR,806.65,523.19,MAGASIN CENTRAL,1,ART-701,VISSERIE,CLIENT_AUTO,806.65
2026-03-15,ART-1602,Article Industriel 602 Metallurgie,COMPOSANT,914.16,116.1,DEPOT NORD,0,ART-602,METALLURGIE,CLIENT_AERO,914.16
2026-03-05,ART-1047,Article Industriel 47 Metallurgie,MAT_PREM,583.01,850000.00,MAGASIN CENTRAL,1,ART-47,METALLURGIE,CLIENT_AUTO,583.01
2026-02-28,ART-1431,Article Industriel 431 Electronique,COMPOSANT,690.94,634.53,DEPOT A,0,ART-431,ELECTRONIQUE,EXPORT_EU,690.94
2026-04-05,ART-1171,Article Industriel 171 Visserie,MAT_PREM,683.11,19.98,DEPOT NORD,0,ART-171,VISSERIE,DIVERS_LOCAL,683.11
2026-03-15,art-1303,Article Industriel 303 Divers,PROD_FINI,144.83,635.25,MAGASIN CENTRAL,1,ART-303,DIVERS,CLIENT_AUTO,144.83
2026-03-15,ART-1548,Article Industriel 548 Electronique,EMBALLAGE,778.9,76.1,depot nord,0,ART-548,ELECTRONIQUE,CLIENT_AUTO,778.9
2026-04-05,ART-1659,Article Industriel 659 Hydraulique,MAT_PREM,670.28,527.46,DEPOT B,0,ART-659,HYDRAULIQUE,DIVERS_LOCAL,670.28
2026-02-28,ART-1440,Article Industriel 440 Divers,ACHAT_DIR,245.81,309.03,DEPOT NORD,0,ART-440,DIVERS,INTERNE,245.81
2026-01-05,ART-1753,Article Industriel 753 Divers,COMPOSANT,1459.66,410.42,MAGASIN CENTRAL,1,ART-753,DIVERS,INTERNE,1459.66
2026-03-31,ART-1556,Article Industriel 556 Plastique,ACHAT_DIR,407.54,578.64,ATELIER 1,0,ART-556,PLASTIQUE,CLIENT_AERO,407.54
2026-01-15,ART-1795,Article Industriel 795 Visserie,MAT_PREM,228.87,201.17,DEPOT B,0,ART-795,VISSERIE,EXPORT_EU,228.87
2026-01-05,ART-1285,Article Industriel 285 Electronique,COMPOSANT,1163.47,263.67,MAGASIN CENTRAL,0,ART-285,ELECTRONIQUE,DIVERS_LOCAL,1163.47
2026-02-05,ART-1016,Bouchon Plastique Fileté Ø32,PROD_FINI,1268.75,367.42,ATELIER 1,0,BOUCH-PL32,PLASTIQUE,CLIENT_AERO,1268.75
2026-01-15,ART-1703,Article Industriel 703 Visserie,COMPOSANT,142.03,79.43,ATELIER 1,0,ART-703,VISSERIE,EXPORT_EU,142.03
2026-03-05,ART-1578,Article Industriel 578 Visserie,EMBALLAGE,121.43,27.05,MAGASIN CENTRAL,0,ART-578,VISSERIE,DIVERS_LOCAL,121.43
2026-03-05,ART-1117,Article Industriel 117 Visserie,ACHAT_DIR,788.06,517.32,MAGASIN CENTRAL,0,ART-117,VISSERIE,DIVERS_LOCAL,788.06
2026-01-15,ART-1173,Article Industriel 173 Emballage,MAT_PREM,341.8,343.54,DEPOT B,0,ART-173,EMBALLAGE,CLIENT_AERO,341.8
2026-01-15,ART-1454,Article Industriel 454 Plastique,COMPOSANT,1419.96,77.69,DEPOT NORD,1,ART-454,PLASTIQUE,EXPORT_EU,1419.96
2026-01-15,ART-1260,Article Industriel 260 Metallurgie,MAT_PREM,905.87,39.76,ATELIER 1,1,ART-260,METALLURGIE,EXPORT_EU,905.87
2026-02-05,ART-1420,Article Industriel 420 Metallurgie,PROD_FINI,1362.51,617.96,DEPOT B,0,ART-420,METALLURGIE,DIVERS_LOCAL,1362.51
30-04-2026,ART-1211,Article Industriel 211 Emballage,MAT_PREM,512.04,108.37,DEPOT B,0,ART-211,EMBALLAGE,CLIENT_AUTO,512.04
2026-03-15,ART-1227,Article Industriel 227 Visserie,MAT_PREM,172.1,316.71,ATELIER 1,0,ART-227,VISSERIE,CLIENT_AERO,172.1
2026-03-05,ART-1073,Article Industriel 73 Electronique,ACHAT_DIR,1166.1,488.05,DEPOT NORD,0,ART-73,ELECTRONIQUE,DIVERS_LOCAL,1166.1
2026-04-30,ART-1306,Article Industriel 306 Electronique,PROD_FINI,279.85,192.11,ATELIER 1,0,ART-306,ELECTRONIQUE,EXPORT_EU,279.85
2026-02-15,ART-1261,Article Industriel 261 Plastique,COMPOSANT,384.88,322.54,MAGASIN CENTRAL,1,ART-261,PLASTIQUE,CLIENT_AERO,384.88
2026-04-15,ART-1685,Article Industriel 685 Metallurgie,ACHAT_DIR,421.96,562.81,MAGASIN CENTRAL,1,ART-685,METALLURGIE,CLIENT_AERO,421.96
2026-04-05,ART-1166,Article Industriel 166 Metallurgie,PROD_FINI,263.27,169.82,MAGASIN CENTRAL,1,ART-166,METALLURGIE,CLIENT_AERO,263.27
2026-04-15,ART-1441,Article Industriel 441 Emballage,EMBALLAGE,1026.8,497.25,MAGASIN CENTRAL,1,ART-441,EMBALLAGE,CLIENT_AUTO,1026.8
2026-01-15,ART-1715,Article Industriel 715 Plastique,PROD_FINI,727.3,366.53,DEPOT NORD,1,ART-715,PLASTIQUE,CLIENT_AUTO,727.3
2026-03-15,ART-1680,Article Industriel 680 Electronique,COMPOSANT,1308.18,602.06,DEPOT B,0,ART-680,ELECTRONIQUE,INTERNE,1308.18
2026-02-05,ART-1445,Article Industriel 445 Emballage,PROD_FINI,1195.51,642.38,ATELIER 1,0,ART-445,EMBALLAGE,CLIENT_AERO,1195.51
2026-04-15,ART-1703,Article Industriel 703 Visserie,COMPOSANT,946.82,172.82,DEPOT B,0,ART-703,VISSERIE,INTERNE,946.82
2026-02-15,ART-1074,Article Industriel 74 Plastique,COMPOSANT,1427.21,209.88,DEPOT B,1,ART-74,PLASTIQUE,DIVERS_LOCAL,1427.21
2026-04-05,ART-1724,Article Industriel 724 Divers,EMBALLAGE,89.54,259.59,ATELIER 1,0,ART-724,DIVERS,EXPORT_EU,89.54
2026-02-05,ART-1045,Article Industriel 45 Emballage,COMPOSANT,372.2,137.73,ATELIER 1,0,ART-45,EMBALLAGE,DIVERS_LOCAL,372.2
2026-04-30,ART-1539,Article Industriel 539 Divers,PROD_FINI,254.33,644.66,DEPOT A,0,ART-539,DIVERS,CLIENT_AUTO,254.33
2026-03-15,ART-1198,Article Industriel 198 Metallurgie,MAT_PREM,1227.24,460.79,MAGASIN CENTRAL,0,ART-198,METALLURGIE,EXPORT_EU,1227.24
2026-04-15,ART-1315,Article Industriel 315 Metallurgie,PROD_FINI,1100.92,108.69,MAGASIN CENTRAL,0,ART-315,METALLURGIE,CLIENT_AERO,1100.92
2026-03-31,ART-1240,Article Industriel 240 Plastique,EMBALLAGE,588.84,94.85,DEPOT NORD,0,ART-240,PLASTIQUE,INTERNE,588.84
2026-02-05,ART-1702,Article Industriel 702 Hydraulique,PROD_FINI,367.16,269.37,MAGASIN CENTRAL,0,ART-702,HYDRAULIQUE,INTERNE,367.16
2026-01-31,ART-1446,Article Industriel 446 Emballage,MAT_PREM,400.77,592.62, DEPOT NORD ,0,ART-446,EMBALLAGE,DIVERS_LOCAL,400.77
2026-04-05,ART-1680,Article Industriel 680 Electronique,COMPOSANT,1035.23,577.66,ATELIER 1,0,ART-680,ELECTRONIQUE,DIVERS_LOCAL,1035.23
2026-04-15,ART-1302,Article Industriel 302 Electronique,COMPOSANT,1460.9,549.74,DEPOT A,0,ART-302,ELECTRONIQUE,EXPORT_EU,1460.9
2026-02-28,ART-1482,Article Industriel 482 Emballage,PROD_FINI,349.89,166.42,DEPOT NORD,0,ART-482,EMBALLAGE,DIVERS_LOCAL,349.89
2026-01-15,ART-1691,Article Industriel 691 Divers,EMBALLAGE,1307.94,275.07,DEPOT A,0,ART-691,DIVERS,EXPORT_EU,1307.94
2026-01-15,ART-1234,Article Industriel 234 Hydraulique,MAT_PREM,980.25,35.6,DEPOT A,0,ART-234,HYDRAULIQUE,DIVERS_LOCAL,980.25
2026-03-05,ART-1673,Article Industriel 673 Electronique,MAT_PREM,86.99,184.81,DEPOT B,0,ART-673,ELECTRONIQUE,DIVERS_LOCAL,86.99
2026-02-15,ART-1370,Article Industriel 370 Metallurgie,ACHAT_DIR,1496.8,260.71,DEPOT NORD,0,ART-370,METALLURGIE,DIVERS_LOCAL,1496.8
2026-02-28,ART-1412,Article Industriel 412 Emballage,COMPOSANT,1083.16,241.72,DEPOT NORD,1,ART-412,EMBALLAGE,CLIENT_AUTO,1083.16
2026-04-15,ART-1689,Article Industriel 689 Hydraulique,MAT_PREM,1252.49,129.76,DEPOT B,0,ART-689,HYDRAULIQUE,DIVERS_LOCAL,1252.49
2026-04-15,ART-1558,Article Industriel 558 Emballage,COMPOSANT,767.67,567.24,MAGASIN CENTRAL,0,ART-558,EMBALLAGE,DIVERS_LOCAL,767.67
2026-01-05,ART-1109,Article Industriel 109 Divers,PROD_FINI,1375.89,496.03,MAGASIN CENTRAL,0,ART-109,DIVERS,INTERNE,1375.89
2026-01-15,ART-1623,Article Industriel 623 Hydraulique,PROD_FINI,213.95,399.01,MAGASIN CENTRAL,0,ART-623,HYDRAULIQUE,EXPORT_EU,213.95
2026-01-05,art-1706,Article Industriel 706 Plastique,ACHAT_DIR,127.91,70.38,DEPOT A,0,ART-706,PLASTIQUE,EXPORT_EU,127.91
2026-04-30,ART-1007,Flexible Hydraulique 2SN DN10,COMPOSANT,1028.87,178.52,DEPOT A,0,FLEX-HYD10,HYDRAULIQUE,CLIENT_AUTO,1028.87
2026-02-28,ART-1353,Article Industriel 353 Emballage,COMPOSANT,895.35,570.01,DEPOT B,0,ART-353,EMBALLAGE,EXPORT_EU,895.35
2026-04-30, ART-1035 ,Article Industriel 35 Divers,ACHAT_DIR,204.98,544.56,DEPOT B,0,ART-35,DIVERS,CLIENT_AUTO,204.98
2026-03-31,ART-1317,Article Industriel 317 Emballage,PROD_FINI,566.87,300.78,DEPOT A,99,ART-317,EMBALLAGE,CLIENT_AERO,566.87
15/03/2026,ART-1535,Article Industriel 535 Visserie,PROD_FINI,952.95,80.31,MAGASIN CENTRAL,0,ART-535,VISSERIE,INTERNE,952.95
2026-02-15,ART-1782,Article Industriel 782 Metallurgie,EMBALLAGE,285.31,306.21,DEPOT NORD,0,ART-782,METALLURGIE,CLIENT_AERO,285.31
2026-04-30,ART-1355,Article Industriel 355 Metallurgie,PROD_FINI,793.74,240.02,DEPOT B,1,ART-355,METALLURGIE,DIVERS_LOCAL,793.74
2026-01-05,ART-1460,Article Industriel 460 Visserie,PROD_FINI,495.87,30.33,DEPOT A,0,ART-460,VISSERIE,CLIENT_AERO,495.87
2026-04-15,ART-1544,Article Industriel 544 Divers,ACHAT_DIR,489.92,460.88,ATELIER 1,1,ART-544,DIVERS,CLIENT_AUTO,489.92
2026-02-05,ART-1316,Article Industriel 316 Divers,EMBALLAGE,999999,101.41,DEPOT A,0,ART-316,DIVERS,CLIENT_AERO,360.14
2026-02-28,ART-1319,Article Industriel 319 Hydraulique,ACHAT_DIR,77.74,399.78,MAGASIN CENTRAL,0,ART-319,HYDRAULIQUE,DIVERS_LOCAL,77.74
2026-03-05,,Article Industriel 400 Electronique,ACHAT_DIR,1231.43,52.82,ATELIER 1,0,ART-400,ELECTRONIQUE,INTERNE,1231.43
